"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11","Get user me","LMS service","Mon May 11 14:27:40 UTC 2026","passed","Mon May 11 14:27:40 UTC 2026","Get entity","Users","",""
"","22","Delete file","LMS service","Mon May 11 14:27:39 UTC 2026","passed","Mon May 11 14:27:39 UTC 2026","Delete entity","Files","",""
"","275","Delete exercise","LMS service","Mon May 11 14:27:35 UTC 2026","passed","Mon May 11 14:27:35 UTC 2026","Delete entity","Exercises","",""
"","287","Get exercises","LMS service","Mon May 11 14:27:36 UTC 2026","passed","Mon May 11 14:27:36 UTC 2026","Get entities","Exercises","",""
"","245","Create file with empty directory","LMS service","Mon May 11 14:27:38 UTC 2026","passed","Mon May 11 14:27:38 UTC 2026","Validate entity","Files","",""
"","30","Create course","LMS service","Mon May 11 14:27:33 UTC 2026","passed","Mon May 11 14:27:33 UTC 2026","Create entity","Courses","",""
"","283","Get courses","LMS service","Mon May 11 14:27:32 UTC 2026","passed","Mon May 11 14:27:32 UTC 2026","Get entities","Courses","",""
"","240","Get file with incorrect file id","LMS service","Mon May 11 14:27:39 UTC 2026","passed","Mon May 11 14:27:39 UTC 2026","Validate entity","Files","",""
"","16","Get exercise","LMS service","Mon May 11 14:27:35 UTC 2026","passed","Mon May 11 14:27:35 UTC 2026","Get entity","Exercises","",""
"","13","Get file","LMS service","Mon May 11 14:27:37 UTC 2026","passed","Mon May 11 14:27:37 UTC 2026","Get entity","Files","",""
"","534","Create user","LMS service","Mon May 11 14:27:39 UTC 2026","passed","Mon May 11 14:27:40 UTC 2026","Create entity","Users","",""
"","18","Create exercise","LMS service","Mon May 11 14:27:33 UTC 2026","passed","Mon May 11 14:27:33 UTC 2026","Create entity","Exercises","",""
"","276","Update exercise","LMS service","Mon May 11 14:27:34 UTC 2026","passed","Mon May 11 14:27:34 UTC 2026","Update entity","Exercises","",""
"","292","Update course","LMS service","Mon May 11 14:27:32 UTC 2026","passed","Mon May 11 14:27:32 UTC 2026","Update entity","Courses","",""
"","245","Create file","LMS service","Mon May 11 14:27:36 UTC 2026","passed","Mon May 11 14:27:36 UTC 2026","Create entity","Files","",""
"","536","Create user","LMS service","Mon May 11 14:27:39 UTC 2026","passed","Mon May 11 14:27:40 UTC 2026","Create entity","Users","",""
"","237","Create file with empty filename","LMS service","Mon May 11 14:27:37 UTC 2026","passed","Mon May 11 14:27:38 UTC 2026","Validate entity","Files","",""
"","272","Login with correct email and password","LMS service","Mon May 11 14:27:31 UTC 2026","passed","Mon May 11 14:27:31 UTC 2026","Login","Authentication","",""
"","486","Create user","LMS service","Mon May 11 14:27:39 UTC 2026","passed","Mon May 11 14:27:39 UTC 2026","Create entity","Users","",""
