"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","555","Create user","LMS service","Sun May 10 10:49:05 UTC 2026","passed","Sun May 10 10:49:06 UTC 2026","Create entity","Users","",""
"","557","Create user","LMS service","Sun May 10 10:49:05 UTC 2026","passed","Sun May 10 10:49:06 UTC 2026","Create entity","Users","",""
"","302","Get exercises","LMS service","Sun May 10 10:49:01 UTC 2026","passed","Sun May 10 10:49:02 UTC 2026","Get entities","Exercises","",""
"","14","Get exercise","LMS service","Sun May 10 10:49:00 UTC 2026","passed","Sun May 10 10:49:00 UTC 2026","Get entity","Exercises","",""
"","15","Get file","LMS service","Sun May 10 10:49:03 UTC 2026","passed","Sun May 10 10:49:03 UTC 2026","Get entity","Files","",""
"","305","Update course","LMS service","Sun May 10 10:48:58 UTC 2026","passed","Sun May 10 10:48:58 UTC 2026","Update entity","Courses","",""
"","255","Create file with empty directory","LMS service","Sun May 10 10:49:04 UTC 2026","passed","Sun May 10 10:49:04 UTC 2026","Validate entity","Files","",""
"","513","Create user","LMS service","Sun May 10 10:49:05 UTC 2026","passed","Sun May 10 10:49:05 UTC 2026","Create entity","Users","",""
"","21","Create exercise","LMS service","Sun May 10 10:48:59 UTC 2026","passed","Sun May 10 10:48:59 UTC 2026","Create entity","Exercises","",""
"","268","Create file","LMS service","Sun May 10 10:49:02 UTC 2026","passed","Sun May 10 10:49:02 UTC 2026","Create entity","Files","",""
"","292","Update exercise","LMS service","Sun May 10 10:49:00 UTC 2026","passed","Sun May 10 10:49:00 UTC 2026","Update entity","Exercises","",""
"","259","Get file with incorrect file id","LMS service","Sun May 10 10:49:05 UTC 2026","passed","Sun May 10 10:49:05 UTC 2026","Validate entity","Files","",""
"","23","Delete file","LMS service","Sun May 10 10:49:05 UTC 2026","passed","Sun May 10 10:49:05 UTC 2026","Delete entity","Files","",""
"","32","Create course","LMS service","Sun May 10 10:48:59 UTC 2026","passed","Sun May 10 10:48:59 UTC 2026","Create entity","Courses","",""
"","12","Get user me","LMS service","Sun May 10 10:49:06 UTC 2026","passed","Sun May 10 10:49:06 UTC 2026","Get entity","Users","",""
"","297","Get courses","LMS service","Sun May 10 10:48:57 UTC 2026","passed","Sun May 10 10:48:58 UTC 2026","Get entities","Courses","",""
"","259","Create file with empty filename","LMS service","Sun May 10 10:49:03 UTC 2026","passed","Sun May 10 10:49:03 UTC 2026","Validate entity","Files","",""
"","293","Delete exercise","LMS service","Sun May 10 10:49:01 UTC 2026","passed","Sun May 10 10:49:01 UTC 2026","Delete entity","Exercises","",""
"","286","Login with correct email and password","LMS service","Sun May 10 10:48:57 UTC 2026","passed","Sun May 10 10:48:57 UTC 2026","Login","Authentication","",""
