"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","579","Create user","LMS service","Thu May 07 17:41:55 UTC 2026","passed","Thu May 07 17:41:56 UTC 2026","Create entity","Users","",""
"","294","Create file with empty directory","LMS service","Thu May 07 17:41:54 UTC 2026","passed","Thu May 07 17:41:55 UTC 2026","Validate entity","Files","",""
"","25","Get courses","LMS service","Thu May 07 17:41:47 UTC 2026","passed","Thu May 07 17:41:47 UTC 2026","Get entities","Courses","",""
"","11","Get user me","LMS service","Thu May 07 17:41:57 UTC 2026","passed","Thu May 07 17:41:57 UTC 2026","Get entity","Users","",""
"","324","Update exercise","LMS service","Thu May 07 17:41:50 UTC 2026","passed","Thu May 07 17:41:50 UTC 2026","Update entity","Exercises","",""
"","333","Get exercises","LMS service","Thu May 07 17:41:52 UTC 2026","passed","Thu May 07 17:41:52 UTC 2026","Get entities","Exercises","",""
"","628","Create user","LMS service","Thu May 07 17:41:56 UTC 2026","passed","Thu May 07 17:41:57 UTC 2026","Create entity","Users","",""
"","318","Get exercise","LMS service","Thu May 07 17:41:50 UTC 2026","passed","Thu May 07 17:41:51 UTC 2026","Get entity","Exercises","",""
"","15","Get file","LMS service","Thu May 07 17:41:53 UTC 2026","passed","Thu May 07 17:41:53 UTC 2026","Get entity","Files","",""
"","29","Create course","LMS service","Thu May 07 17:41:49 UTC 2026","passed","Thu May 07 17:41:49 UTC 2026","Create entity","Courses","",""
"","288","Create file with empty filename","LMS service","Thu May 07 17:41:54 UTC 2026","passed","Thu May 07 17:41:54 UTC 2026","Validate entity","Files","",""
"","301","Create file","LMS service","Thu May 07 17:41:52 UTC 2026","passed","Thu May 07 17:41:53 UTC 2026","Create entity","Files","",""
"","325","Delete exercise","LMS service","Thu May 07 17:41:51 UTC 2026","passed","Thu May 07 17:41:52 UTC 2026","Delete entity","Exercises","",""
"","294","Get file with incorrect file id","LMS service","Thu May 07 17:41:56 UTC 2026","passed","Thu May 07 17:41:56 UTC 2026","Validate entity","Files","",""
"","28","Update course","LMS service","Thu May 07 17:41:48 UTC 2026","passed","Thu May 07 17:41:48 UTC 2026","Update entity","Courses","",""
"","20","Create exercise","LMS service","Thu May 07 17:41:49 UTC 2026","passed","Thu May 07 17:41:49 UTC 2026","Create entity","Exercises","",""
"","629","Create user","LMS service","Thu May 07 17:41:56 UTC 2026","passed","Thu May 07 17:41:57 UTC 2026","Create entity","Users","",""
"","22","Delete file","LMS service","Thu May 07 17:41:55 UTC 2026","passed","Thu May 07 17:41:55 UTC 2026","Delete entity","Files","",""
"","318","Login with correct email and password","LMS service","Thu May 07 17:41:46 UTC 2026","passed","Thu May 07 17:41:47 UTC 2026","Login","Authentication","",""
