"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","31","Create course","LMS service","Thu May 07 12:31:08 UTC 2026","passed","Thu May 07 12:31:08 UTC 2026","Create entity","Courses","",""
"","626","Create user","LMS service","Thu May 07 12:31:16 UTC 2026","passed","Thu May 07 12:31:16 UTC 2026","Create entity","Users","",""
"","32","Update course","LMS service","Thu May 07 12:31:08 UTC 2026","passed","Thu May 07 12:31:08 UTC 2026","Update entity","Courses","",""
"","325","Update exercise","LMS service","Thu May 07 12:31:10 UTC 2026","passed","Thu May 07 12:31:10 UTC 2026","Update entity","Exercises","",""
"","323","Create user","LMS service","Thu May 07 12:31:16 UTC 2026","passed","Thu May 07 12:31:16 UTC 2026","Create entity","Users","",""
"","19","Create exercise","LMS service","Thu May 07 12:31:09 UTC 2026","passed","Thu May 07 12:31:09 UTC 2026","Create entity","Exercises","",""
"","21","Delete file","LMS service","Thu May 07 12:31:15 UTC 2026","passed","Thu May 07 12:31:15 UTC 2026","Delete entity","Files","",""
"","325","Delete exercise","LMS service","Thu May 07 12:31:11 UTC 2026","passed","Thu May 07 12:31:11 UTC 2026","Delete entity","Exercises","",""
"","332","Get exercises","LMS service","Thu May 07 12:31:11 UTC 2026","passed","Thu May 07 12:31:12 UTC 2026","Get entities","Exercises","",""
"","581","Create user","LMS service","Thu May 07 12:31:15 UTC 2026","passed","Thu May 07 12:31:16 UTC 2026","Create entity","Users","",""
"","295","Get file with incorrect file id","LMS service","Thu May 07 12:31:15 UTC 2026","passed","Thu May 07 12:31:16 UTC 2026","Validate entity","Files","",""
"","295","Create file with empty directory","LMS service","Thu May 07 12:31:14 UTC 2026","passed","Thu May 07 12:31:14 UTC 2026","Validate entity","Files","",""
"","14","Get exercise","LMS service","Thu May 07 12:31:10 UTC 2026","passed","Thu May 07 12:31:10 UTC 2026","Get entity","Exercises","",""
"","318","Login with correct email and password","LMS service","Thu May 07 12:31:06 UTC 2026","passed","Thu May 07 12:31:06 UTC 2026","Login","Authentication","",""
"","295","Create file","LMS service","Thu May 07 12:31:12 UTC 2026","passed","Thu May 07 12:31:12 UTC 2026","Create entity","Files","",""
"","294","Create file with empty filename","LMS service","Thu May 07 12:31:13 UTC 2026","passed","Thu May 07 12:31:14 UTC 2026","Validate entity","Files","",""
"","26","Get courses","LMS service","Thu May 07 12:31:07 UTC 2026","passed","Thu May 07 12:31:07 UTC 2026","Get entities","Courses","",""
"","13","Get file","LMS service","Thu May 07 12:31:13 UTC 2026","passed","Thu May 07 12:31:13 UTC 2026","Get entity","Files","",""
"","11","Get user me","LMS service","Thu May 07 12:31:17 UTC 2026","passed","Thu May 07 12:31:17 UTC 2026","Get entity","Users","",""
