"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17","Create exercise","LMS service","Thu May 07 12:47:24 UTC 2026","passed","Thu May 07 12:47:24 UTC 2026","Create entity","Exercises","",""
"","17","Get file","LMS service","Thu May 07 12:47:27 UTC 2026","passed","Thu May 07 12:47:27 UTC 2026","Get entity","Files","",""
"","247","Get file with incorrect file id","LMS service","Thu May 07 12:47:29 UTC 2026","passed","Thu May 07 12:47:29 UTC 2026","Validate entity","Files","",""
"","11","Get user me","LMS service","Thu May 07 12:47:31 UTC 2026","passed","Thu May 07 12:47:31 UTC 2026","Get entity","Users","",""
"","269","Login with correct email and password","LMS service","Thu May 07 12:47:21 UTC 2026","passed","Thu May 07 12:47:22 UTC 2026","Login","Authentication","",""
"","17","Get exercise","LMS service","Thu May 07 12:47:25 UTC 2026","passed","Thu May 07 12:47:25 UTC 2026","Get entity","Exercises","",""
"","25","Update course","LMS service","Thu May 07 12:47:23 UTC 2026","passed","Thu May 07 12:47:23 UTC 2026","Update entity","Courses","",""
"","497","Create user","LMS service","Thu May 07 12:47:29 UTC 2026","passed","Thu May 07 12:47:29 UTC 2026","Create entity","Users","",""
"","274","Delete exercise","LMS service","Thu May 07 12:47:26 UTC 2026","passed","Thu May 07 12:47:26 UTC 2026","Delete entity","Exercises","",""
"","247","Create file with empty filename","LMS service","Thu May 07 12:47:28 UTC 2026","passed","Thu May 07 12:47:28 UTC 2026","Validate entity","Files","",""
"","530","Create user","LMS service","Thu May 07 12:47:29 UTC 2026","passed","Thu May 07 12:47:30 UTC 2026","Create entity","Users","",""
"","27","Get courses","LMS service","Thu May 07 12:47:22 UTC 2026","passed","Thu May 07 12:47:22 UTC 2026","Get entities","Courses","",""
"","278","Update exercise","LMS service","Thu May 07 12:47:24 UTC 2026","passed","Thu May 07 12:47:25 UTC 2026","Update entity","Exercises","",""
"","281","Get exercises","LMS service","Thu May 07 12:47:26 UTC 2026","passed","Thu May 07 12:47:26 UTC 2026","Get entities","Exercises","",""
"","275","Create user","LMS service","Thu May 07 12:47:29 UTC 2026","passed","Thu May 07 12:47:30 UTC 2026","Create entity","Users","",""
"","251","Create file","LMS service","Thu May 07 12:47:26 UTC 2026","passed","Thu May 07 12:47:27 UTC 2026","Create entity","Files","",""
"","243","Create file with empty directory","LMS service","Thu May 07 12:47:28 UTC 2026","passed","Thu May 07 12:47:28 UTC 2026","Validate entity","Files","",""
"","34","Create course","LMS service","Thu May 07 12:47:23 UTC 2026","passed","Thu May 07 12:47:23 UTC 2026","Create entity","Courses","",""
"","20","Delete file","LMS service","Thu May 07 12:47:29 UTC 2026","passed","Thu May 07 12:47:29 UTC 2026","Delete entity","Files","",""
