"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","297","Get courses","LMS service","Mon May 11 14:43:42 UTC 2026","passed","Mon May 11 14:43:43 UTC 2026","Get entities","Courses","",""
"","33","Create course","LMS service","Mon May 11 14:43:43 UTC 2026","passed","Mon May 11 14:43:44 UTC 2026","Create entity","Courses","",""
"","20","Delete file","LMS service","Mon May 11 14:43:49 UTC 2026","passed","Mon May 11 14:43:49 UTC 2026","Delete entity","Files","",""
"","259","Create file with empty filename","LMS service","Mon May 11 14:43:48 UTC 2026","passed","Mon May 11 14:43:48 UTC 2026","Validate entity","Files","",""
"","517","Create user","LMS service","Mon May 11 14:43:50 UTC 2026","passed","Mon May 11 14:43:50 UTC 2026","Create entity","Users","",""
"","256","Create file with empty directory","LMS service","Mon May 11 14:43:49 UTC 2026","passed","Mon May 11 14:43:49 UTC 2026","Validate entity","Files","",""
"","301","Get exercises","LMS service","Mon May 11 14:43:46 UTC 2026","passed","Mon May 11 14:43:47 UTC 2026","Get entities","Exercises","",""
"","261","Get file with incorrect file id","LMS service","Mon May 11 14:43:50 UTC 2026","passed","Mon May 11 14:43:50 UTC 2026","Validate entity","Files","",""
"","284","Login with correct email and password","LMS service","Mon May 11 14:43:41 UTC 2026","passed","Mon May 11 14:43:42 UTC 2026","Login","Authentication","",""
"","12","Get user me","LMS service","Mon May 11 14:43:51 UTC 2026","passed","Mon May 11 14:43:51 UTC 2026","Get entity","Users","",""
"","14","Get file","LMS service","Mon May 11 14:43:48 UTC 2026","passed","Mon May 11 14:43:48 UTC 2026","Get entity","Files","",""
"","290","Update exercise","LMS service","Mon May 11 14:43:45 UTC 2026","passed","Mon May 11 14:43:45 UTC 2026","Update entity","Exercises","",""
"","289","Create user","LMS service","Mon May 11 14:43:50 UTC 2026","passed","Mon May 11 14:43:50 UTC 2026","Create entity","Users","",""
"","261","Create file","LMS service","Mon May 11 14:43:47 UTC 2026","passed","Mon May 11 14:43:47 UTC 2026","Create entity","Files","",""
"","26","Create exercise","LMS service","Mon May 11 14:43:44 UTC 2026","passed","Mon May 11 14:43:44 UTC 2026","Create entity","Exercises","",""
"","15","Get exercise","LMS service","Mon May 11 14:43:45 UTC 2026","passed","Mon May 11 14:43:45 UTC 2026","Get entity","Exercises","",""
"","308","Update course","LMS service","Mon May 11 14:43:43 UTC 2026","passed","Mon May 11 14:43:43 UTC 2026","Update entity","Courses","",""
"","292","Delete exercise","LMS service","Mon May 11 14:43:46 UTC 2026","passed","Mon May 11 14:43:46 UTC 2026","Delete entity","Exercises","",""
"","560","Create user","LMS service","Mon May 11 14:43:50 UTC 2026","passed","Mon May 11 14:43:51 UTC 2026","Create entity","Users","",""
