"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20","Update exercise","LMS service","Mon May 11 14:39:18 UTC 2026","passed","Mon May 11 14:39:18 UTC 2026","Update entity","Exercises","",""
"","22","Update course","LMS service","Mon May 11 14:39:16 UTC 2026","passed","Mon May 11 14:39:16 UTC 2026","Update entity","Courses","",""
"","25","Get exercises","LMS service","Mon May 11 14:39:19 UTC 2026","passed","Mon May 11 14:39:19 UTC 2026","Get entities","Exercises","",""
"","23","Create course","LMS service","Mon May 11 14:39:17 UTC 2026","passed","Mon May 11 14:39:17 UTC 2026","Create entity","Courses","",""
"","17","Create exercise","LMS service","Mon May 11 14:39:17 UTC 2026","passed","Mon May 11 14:39:17 UTC 2026","Create entity","Exercises","",""
"","12","Get file","LMS service","Mon May 11 14:39:20 UTC 2026","passed","Mon May 11 14:39:20 UTC 2026","Get entity","Files","",""
"","97","Get file with incorrect file id","LMS service","Mon May 11 14:39:22 UTC 2026","passed","Mon May 11 14:39:23 UTC 2026","Validate entity","Files","",""
"","11","Get user me","LMS service","Mon May 11 14:39:24 UTC 2026","passed","Mon May 11 14:39:24 UTC 2026","Get entity","Users","",""
"","234","Create file","LMS service","Mon May 11 14:39:20 UTC 2026","passed","Mon May 11 14:39:20 UTC 2026","Create entity","Files","",""
"","868","Create user","LMS service","Mon May 11 14:39:23 UTC 2026","passed","Mon May 11 14:39:24 UTC 2026","Create entity","Users","",""
"","24","Get courses","LMS service","Mon May 11 14:39:16 UTC 2026","passed","Mon May 11 14:39:16 UTC 2026","Get entities","Courses","",""
"","23","Delete exercise","LMS service","Mon May 11 14:39:19 UTC 2026","passed","Mon May 11 14:39:19 UTC 2026","Delete entity","Exercises","",""
"","245","Login with correct email and password","LMS service","Mon May 11 14:39:15 UTC 2026","passed","Mon May 11 14:39:15 UTC 2026","Login","Authentication","",""
"","227","Create file with empty filename","LMS service","Mon May 11 14:39:21 UTC 2026","passed","Mon May 11 14:39:21 UTC 2026","Validate entity","Files","",""
"","113","Delete file","LMS service","Mon May 11 14:39:22 UTC 2026","passed","Mon May 11 14:39:23 UTC 2026","Delete entity","Files","",""
"","305","Create user","LMS service","Mon May 11 14:39:23 UTC 2026","passed","Mon May 11 14:39:23 UTC 2026","Create entity","Users","",""
"","13","Get exercise","LMS service","Mon May 11 14:39:18 UTC 2026","passed","Mon May 11 14:39:18 UTC 2026","Get entity","Exercises","",""
"","16","Create file with empty directory","LMS service","Mon May 11 14:39:21 UTC 2026","passed","Mon May 11 14:39:21 UTC 2026","Validate entity","Files","",""
"","776","Create user","LMS service","Mon May 11 14:39:23 UTC 2026","passed","Mon May 11 14:39:23 UTC 2026","Create entity","Users","",""
