"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","575","Create file with empty filename","LMS service","Thu May 07 17:11:28 UTC 2026","passed","Thu May 07 17:11:29 UTC 2026","Validate entity","Files","",""
"","260","Get courses","LMS service","Thu May 07 17:11:23 UTC 2026","passed","Thu May 07 17:11:23 UTC 2026","Get entities","Courses","",""
"","22","Create course","LMS service","Thu May 07 17:11:24 UTC 2026","passed","Thu May 07 17:11:24 UTC 2026","Create entity","Courses","",""
"","16","Update exercise","LMS service","Thu May 07 17:11:25 UTC 2026","passed","Thu May 07 17:11:25 UTC 2026","Update entity","Exercises","",""
"","253","Create user","LMS service","Thu May 07 17:11:30 UTC 2026","passed","Thu May 07 17:11:31 UTC 2026","Create entity","Users","",""
"","278","Delete exercise","LMS service","Thu May 07 17:11:26 UTC 2026","passed","Thu May 07 17:11:26 UTC 2026","Delete entity","Exercises","",""
"","19","Delete file","LMS service","Thu May 07 17:11:30 UTC 2026","passed","Thu May 07 17:11:30 UTC 2026","Delete entity","Files","",""
"","257","Get exercises","LMS service","Thu May 07 17:11:27 UTC 2026","passed","Thu May 07 17:11:27 UTC 2026","Get entities","Exercises","",""
"","243","Create file with empty directory","LMS service","Thu May 07 17:11:29 UTC 2026","passed","Thu May 07 17:11:29 UTC 2026","Validate entity","Files","",""
"","248","Login with correct email and password","LMS service","Thu May 07 17:11:22 UTC 2026","passed","Thu May 07 17:11:22 UTC 2026","Login","Authentication","",""
"","8","Get user me","LMS service","Thu May 07 17:11:31 UTC 2026","passed","Thu May 07 17:11:31 UTC 2026","Get entity","Users","",""
"","10","Get file","LMS service","Thu May 07 17:11:29 UTC 2026","passed","Thu May 07 17:11:29 UTC 2026","Get entity","Files","",""
"","245","Get exercise","LMS service","Thu May 07 17:11:26 UTC 2026","passed","Thu May 07 17:11:26 UTC 2026","Get entity","Exercises","",""
"","484","Create user","LMS service","Thu May 07 17:11:30 UTC 2026","passed","Thu May 07 17:11:31 UTC 2026","Create entity","Users","",""
"","27","Create file","LMS service","Thu May 07 17:11:27 UTC 2026","passed","Thu May 07 17:11:27 UTC 2026","Create entity","Files","",""
"","453","Create user","LMS service","Thu May 07 17:11:30 UTC 2026","passed","Thu May 07 17:11:30 UTC 2026","Create entity","Users","",""
"","264","Update course","LMS service","Thu May 07 17:11:23 UTC 2026","passed","Thu May 07 17:11:24 UTC 2026","Update entity","Courses","",""
"","250","Create exercise","LMS service","Thu May 07 17:11:25 UTC 2026","passed","Thu May 07 17:11:25 UTC 2026","Create entity","Exercises","",""
"","241","Get file with incorrect file id","LMS service","Thu May 07 17:11:30 UTC 2026","passed","Thu May 07 17:11:30 UTC 2026","Validate entity","Files","",""
