"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","630","Create user","LMS service","Thu May 07 17:34:02 UTC 2026","passed","Thu May 07 17:34:03 UTC 2026","Create entity","Users","",""
"","294","Create file with empty directory","LMS service","Thu May 07 17:34:00 UTC 2026","passed","Thu May 07 17:34:01 UTC 2026","Validate entity","Files","",""
"","328","Update exercise","LMS service","Thu May 07 17:33:56 UTC 2026","passed","Thu May 07 17:33:56 UTC 2026","Update entity","Exercises","",""
"","14","Get file","LMS service","Thu May 07 17:33:59 UTC 2026","passed","Thu May 07 17:33:59 UTC 2026","Get entity","Files","",""
"","630","Create user","LMS service","Thu May 07 17:34:02 UTC 2026","passed","Thu May 07 17:34:03 UTC 2026","Create entity","Users","",""
"","15","Get exercise","LMS service","Thu May 07 17:33:57 UTC 2026","passed","Thu May 07 17:33:57 UTC 2026","Get entity","Exercises","",""
"","24","Get courses","LMS service","Thu May 07 17:33:53 UTC 2026","passed","Thu May 07 17:33:53 UTC 2026","Get entities","Courses","",""
"","318","Login with correct email and password","LMS service","Thu May 07 17:33:52 UTC 2026","passed","Thu May 07 17:33:53 UTC 2026","Login","Authentication","",""
"","19","Create exercise","LMS service","Thu May 07 17:33:55 UTC 2026","passed","Thu May 07 17:33:55 UTC 2026","Create entity","Exercises","",""
"","22","Delete file","LMS service","Thu May 07 17:34:01 UTC 2026","passed","Thu May 07 17:34:01 UTC 2026","Delete entity","Files","",""
"","287","Create file with empty filename","LMS service","Thu May 07 17:34:00 UTC 2026","passed","Thu May 07 17:34:00 UTC 2026","Validate entity","Files","",""
"","334","Get exercises","LMS service","Thu May 07 17:33:58 UTC 2026","passed","Thu May 07 17:33:58 UTC 2026","Get entities","Exercises","",""
"","29","Update course","LMS service","Thu May 07 17:33:54 UTC 2026","passed","Thu May 07 17:33:54 UTC 2026","Update entity","Courses","",""
"","327","Delete exercise","LMS service","Thu May 07 17:33:57 UTC 2026","passed","Thu May 07 17:33:58 UTC 2026","Delete entity","Exercises","",""
"","294","Get file with incorrect file id","LMS service","Thu May 07 17:34:02 UTC 2026","passed","Thu May 07 17:34:02 UTC 2026","Validate entity","Files","",""
"","298","Create file","LMS service","Thu May 07 17:33:58 UTC 2026","passed","Thu May 07 17:33:59 UTC 2026","Create entity","Files","",""
"","579","Create user","LMS service","Thu May 07 17:34:01 UTC 2026","passed","Thu May 07 17:34:02 UTC 2026","Create entity","Users","",""
"","11","Get user me","LMS service","Thu May 07 17:34:03 UTC 2026","passed","Thu May 07 17:34:03 UTC 2026","Get entity","Users","",""
"","28","Create course","LMS service","Thu May 07 17:33:55 UTC 2026","passed","Thu May 07 17:33:55 UTC 2026","Create entity","Courses","",""
