"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","561","Create user","LMS service","Thu May 07 17:39:44 UTC 2026","passed","Thu May 07 17:39:45 UTC 2026","Create entity","Users","",""
"","31","Get exercises","LMS service","Thu May 07 17:39:41 UTC 2026","passed","Thu May 07 17:39:41 UTC 2026","Get entities","Exercises","",""
"","253","Create file with empty filename","LMS service","Thu May 07 17:39:42 UTC 2026","passed","Thu May 07 17:39:42 UTC 2026","Validate entity","Files","",""
"","294","Delete file","LMS service","Thu May 07 17:39:43 UTC 2026","passed","Thu May 07 17:39:44 UTC 2026","Delete entity","Files","",""
"","21","Create exercise","LMS service","Thu May 07 17:39:39 UTC 2026","passed","Thu May 07 17:39:39 UTC 2026","Create entity","Exercises","",""
"","19","Delete exercise","LMS service","Thu May 07 17:39:40 UTC 2026","passed","Thu May 07 17:39:40 UTC 2026","Delete entity","Exercises","",""
"","23","Update exercise","LMS service","Thu May 07 17:39:39 UTC 2026","passed","Thu May 07 17:39:39 UTC 2026","Update entity","Exercises","",""
"","29","Create file","LMS service","Thu May 07 17:39:41 UTC 2026","passed","Thu May 07 17:39:41 UTC 2026","Create entity","Files","",""
"","248","Create file with empty directory","LMS service","Thu May 07 17:39:43 UTC 2026","passed","Thu May 07 17:39:43 UTC 2026","Validate entity","Files","",""
"","15","Get file","LMS service","Thu May 07 17:39:42 UTC 2026","passed","Thu May 07 17:39:42 UTC 2026","Get entity","Files","",""
"","29","Get courses","LMS service","Thu May 07 17:39:37 UTC 2026","passed","Thu May 07 17:39:37 UTC 2026","Get entities","Courses","",""
"","11","Get user me","LMS service","Thu May 07 17:39:45 UTC 2026","passed","Thu May 07 17:39:45 UTC 2026","Get entity","Users","",""
"","307","Update course","LMS service","Thu May 07 17:39:37 UTC 2026","passed","Thu May 07 17:39:37 UTC 2026","Update entity","Courses","",""
"","561","Create user","LMS service","Thu May 07 17:39:44 UTC 2026","passed","Thu May 07 17:39:45 UTC 2026","Create entity","Users","",""
"","20","Get exercise","LMS service","Thu May 07 17:39:40 UTC 2026","passed","Thu May 07 17:39:40 UTC 2026","Get entity","Exercises","",""
"","538","Create user","LMS service","Thu May 07 17:39:44 UTC 2026","passed","Thu May 07 17:39:44 UTC 2026","Create entity","Users","",""
"","263","Get file with incorrect file id","LMS service","Thu May 07 17:39:44 UTC 2026","passed","Thu May 07 17:39:44 UTC 2026","Validate entity","Files","",""
"","288","Login with correct email and password","LMS service","Thu May 07 17:39:36 UTC 2026","passed","Thu May 07 17:39:36 UTC 2026","Login","Authentication","",""
"","34","Create course","LMS service","Thu May 07 17:39:37 UTC 2026","passed","Thu May 07 17:39:37 UTC 2026","Create entity","Courses","",""
